,grade,term,home_ownership,emp_length,safe_loans
29844,E, 60 months,RENT,10+ years,-1
29845,B, 36 months,MORTGAGE,1 year,-1
29846,C, 36 months,MORTGAGE,10+ years,1
29847,D, 60 months,RENT,4 years,-1
29848,E, 60 months,MORTGAGE,9 years,-1
29849,C, 36 months,OWN,< 1 year,-1
29850,B, 36 months,MORTGAGE,6 years,1
29851,C, 36 months,MORTGAGE,9 years,-1
29852,A, 36 months,MORTGAGE,10+ years,1
29853,C, 36 months,RENT,3 years,1
29854,D, 60 months,RENT,10+ years,-1
29855,D, 36 months,RENT,3 years,-1
29856,B, 36 months,MORTGAGE,2 years,-1
29857,B, 60 months,MORTGAGE,8 years,-1
29858,D, 36 months,RENT,6 years,-1
29859,G, 60 months,MORTGAGE,10+ years,-1
29860,C, 60 months,RENT,< 1 year,-1
29861,A, 36 months,MORTGAGE,10+ years,1
29862,D, 36 months,RENT,< 1 year,-1
29863,A, 36 months,RENT,7 years,-1
29864,B, 36 months,RENT,3 years,1
29865,E, 60 months,MORTGAGE,10+ years,1
29866,B, 60 months,MORTGAGE,3 years,-1
29867,C, 60 months,MORTGAGE,1 year,-1
29868,D, 36 months,MORTGAGE,10+ years,-1
29869,B, 36 months,OWN,< 1 year,-1
29870,E, 60 months,MORTGAGE,6 years,-1
29871,A, 36 months,RENT,< 1 year,1
29872,D, 60 months,RENT,< 1 year,-1
29873,D, 36 months,RENT,< 1 year,-1
29874,C, 60 months,RENT,4 years,-1
29875,D, 36 months,OWN,5 years,1
29876,E, 60 months,RENT,5 years,-1
29877,B, 60 months,MORTGAGE,10+ years,-1
29878,C, 36 months,RENT,6 years,1
29879,C, 36 months,OWN,,1
29880,D, 60 months,OWN,8 years,1
29881,C, 36 months,RENT,< 1 year,1
29882,B, 36 months,RENT,4 years,1
29883,E, 36 months,RENT,< 1 year,-1
29884,A, 36 months,MORTGAGE,10+ years,1
29885,C, 60 months,MORTGAGE,10+ years,-1
29886,B, 36 months,RENT,2 years,1
29887,C, 36 months,MORTGAGE,3 years,-1
29888,B, 36 months,RENT,1 year,-1
29889,A, 36 months,MORTGAGE,4 years,-1
29890,B, 36 months,RENT,3 years,1
29891,D, 36 months,RENT,10+ years,-1
29892,A, 36 months,MORTGAGE,6 years,1
29893,C, 36 months,RENT,3 years,-1
29894,F, 60 months,MORTGAGE,9 years,-1
29895,D, 60 months,MORTGAGE,10+ years,-1
29896,B, 36 months,RENT,3 years,1
29897,B, 36 months,MORTGAGE,10+ years,-1
29898,D, 36 months,MORTGAGE,10+ years,1
29899,A, 36 months,RENT,8 years,1
29900,A, 36 months,RENT,10+ years,-1
29901,C, 36 months,RENT,7 years,-1
29902,C, 36 months,RENT,3 years,-1
29903,D, 36 months,RENT,3 years,-1
29904,D, 36 months,RENT,10+ years,-1
29905,D, 36 months,OWN,8 years,1
29906,A, 36 months,MORTGAGE,3 years,1
29907,C, 60 months,MORTGAGE,10+ years,1
29908,F, 60 months,MORTGAGE,10+ years,-1
29909,C, 36 months,RENT,6 years,-1
29910,C, 36 months,MORTGAGE,10+ years,1
29911,E, 60 months,RENT,1 year,-1
29912,D, 36 months,RENT,3 years,-1
29913,B, 36 months,MORTGAGE,< 1 year,1
29914,B, 36 months,RENT,10+ years,1
29915,B, 36 months,RENT,,-1
29916,D, 36 months,RENT,1 year,1
29917,B, 36 months,RENT,9 years,1
29918,D, 36 months,MORTGAGE,10+ years,1
29919,C, 36 months,RENT,6 years,1
29920,B, 36 months,RENT,3 years,-1
29921,A, 36 months,RENT,9 years,-1
29922,B, 36 months,RENT,< 1 year,-1
29923,B, 36 months,RENT,4 years,1
29924,G, 60 months,MORTGAGE,7 years,-1
29925,D, 36 months,RENT,4 years,-1
29926,D, 60 months,RENT,3 years,1
29927,F, 60 months,MORTGAGE,5 years,1
29928,C, 36 months,OWN,10+ years,1
29929,A, 36 months,RENT,7 years,1
29930,C, 36 months,MORTGAGE,4 years,1
29931,B, 36 months,MORTGAGE,10+ years,-1
29932,B, 36 months,RENT,9 years,1
29933,B, 36 months,OWN,6 years,-1
29934,C, 36 months,RENT,10+ years,1
29935,B, 36 months,RENT,5 years,1
29936,C, 36 months,MORTGAGE,9 years,-1
29937,D, 36 months,RENT,4 years,-1
29938,D, 60 months,MORTGAGE,7 years,1
29939,D, 36 months,MORTGAGE,10+ years,1
29940,B, 60 months,RENT,2 years,-1
29941,A, 36 months,MORTGAGE,5 years,1
29942,C, 36 months,RENT,,-1
29943,D, 60 months,RENT,,-1
29944,C, 36 months,MORTGAGE,7 years,1
29945,C, 60 months,MORTGAGE,10+ years,1
29946,F, 60 months,RENT,10+ years,-1
29947,A, 36 months,RENT,< 1 year,1
29948,B, 36 months,MORTGAGE,10+ years,-1
29949,E, 60 months,RENT,4 years,-1
29950,B, 36 months,MORTGAGE,,1
29951,B, 36 months,MORTGAGE,1 year,1
29952,B, 60 months,MORTGAGE,1 year,-1
29953,B, 36 months,RENT,10+ years,-1
29954,B, 36 months,RENT,,-1
29955,D, 36 months,RENT,10+ years,-1
29956,B, 60 months,MORTGAGE,9 years,1
29957,C, 36 months,MORTGAGE,10+ years,1
29958,B, 36 months,MORTGAGE,10+ years,1
29959,B, 36 months,MORTGAGE,10+ years,1
29960,C, 36 months,RENT,10+ years,-1
29961,B, 36 months,MORTGAGE,1 year,-1
29962,C, 36 months,RENT,2 years,-1
29963,D, 60 months,MORTGAGE,9 years,-1
29964,E, 36 months,RENT,5 years,1
29965,E, 36 months,MORTGAGE,10+ years,-1
29966,C, 36 months,RENT,1 year,1
29967,E, 60 months,MORTGAGE,7 years,-1
29968,A, 36 months,MORTGAGE,10+ years,1
29969,C, 36 months,RENT,< 1 year,-1
29970,G, 60 months,MORTGAGE,5 years,-1
29971,C, 36 months,MORTGAGE,5 years,1
29972,C, 36 months,RENT,3 years,-1
29973,E, 60 months,RENT,10+ years,1
29974,C, 60 months,MORTGAGE,7 years,-1
29975,C, 36 months,RENT,3 years,-1
29976,B, 60 months,OWN,< 1 year,-1
29977,B, 36 months,RENT,< 1 year,-1
29978,B, 36 months,RENT,8 years,-1
29979,C, 36 months,MORTGAGE,9 years,1
29980,A, 36 months,OWN,7 years,1
29981,C, 36 months,RENT,9 years,1
29982,C, 36 months,RENT,3 years,-1
29983,E, 36 months,MORTGAGE,2 years,-1
29984,E, 60 months,MORTGAGE,10+ years,1
29985,D, 36 months,OWN,10+ years,-1
29986,C, 36 months,RENT,2 years,1
29987,C, 36 months,RENT,7 years,1
29988,C, 36 months,MORTGAGE,10+ years,-1
29989,B, 36 months,MORTGAGE,3 years,1
29990,C, 36 months,RENT,7 years,-1
29991,D, 36 months,RENT,2 years,1
29992,B, 36 months,MORTGAGE,8 years,1
29993,B, 36 months,RENT,2 years,-1
29994,C, 36 months,MORTGAGE,10+ years,-1
29995,A, 36 months,MORTGAGE,10+ years,-1
29996,C, 36 months,RENT,10+ years,-1
29997,A, 36 months,RENT,< 1 year,1
29998,C, 36 months,MORTGAGE,< 1 year,1
29999,B, 36 months,MORTGAGE,10+ years,-1
30000,D, 36 months,MORTGAGE,10+ years,1
30001,D, 36 months,RENT,10+ years,-1
30002,F, 60 months,MORTGAGE,9 years,-1
30003,C, 36 months,RENT,3 years,-1
30004,B, 36 months,MORTGAGE,9 years,-1
30005,C, 36 months,RENT,10+ years,1
30006,B, 36 months,OWN,,-1
30007,E, 60 months,MORTGAGE,3 years,1
30008,E, 60 months,MORTGAGE,1 year,-1
30009,C, 60 months,MORTGAGE,3 years,1
30010,A, 36 months,RENT,< 1 year,1
30011,A, 36 months,MORTGAGE,10+ years,1
30012,C, 36 months,MORTGAGE,6 years,1
30013,E, 60 months,MORTGAGE,5 years,-1
30014,D, 60 months,OWN,3 years,-1
30015,A, 36 months,MORTGAGE,< 1 year,-1
30016,B, 60 months,MORTGAGE,3 years,1
30017,B, 60 months,RENT,10+ years,-1
30018,C, 60 months,MORTGAGE,10+ years,-1
30019,B, 36 months,RENT,5 years,-1
30020,D, 36 months,RENT,7 years,-1
30021,C, 36 months,MORTGAGE,6 years,1
30022,C, 36 months,RENT,10+ years,1
30023,C, 36 months,RENT,< 1 year,1
30024,E, 60 months,MORTGAGE,9 years,-1
30025,C, 36 months,RENT,< 1 year,-1
30026,D, 60 months,MORTGAGE,10+ years,-1
30027,B, 36 months,RENT,3 years,1
30028,C, 36 months,RENT,,-1
30029,B, 36 months,OWN,4 years,-1
30030,B, 60 months,MORTGAGE,7 years,1
30031,B, 36 months,RENT,3 years,1
30032,D, 36 months,MORTGAGE,5 years,-1
30033,A, 36 months,RENT,9 years,-1
30034,C, 36 months,MORTGAGE,< 1 year,1
30035,D, 60 months,MORTGAGE,5 years,-1
30036,A, 36 months,RENT,4 years,-1
30037,E, 36 months,RENT,< 1 year,-1
30038,B, 36 months,MORTGAGE,3 years,-1
30039,D, 36 months,MORTGAGE,2 years,1
30040,B, 36 months,RENT,7 years,-1
30041,C, 60 months,RENT,10+ years,-1
30042,C, 36 months,RENT,2 years,1
30043,B, 36 months,MORTGAGE,5 years,-1
30044,B, 36 months,OWN,7 years,1
30045,C, 36 months,RENT,< 1 year,1
30046,C, 60 months,MORTGAGE,4 years,-1
30047,D, 36 months,RENT,7 years,1
30048,E, 60 months,RENT,< 1 year,-1
30049,C, 36 months,RENT,< 1 year,-1
30050,D, 36 months,RENT,7 years,-1
30051,B, 36 months,MORTGAGE,5 years,1
30052,B, 36 months,RENT,< 1 year,1
30053,C, 36 months,RENT,1 year,1
30054,C, 36 months,RENT,9 years,1
30055,D, 36 months,MORTGAGE,10+ years,-1
30056,B, 36 months,RENT,10+ years,-1
30057,D, 36 months,MORTGAGE,2 years,-1
30058,B, 36 months,MORTGAGE,9 years,1
30059,D, 36 months,MORTGAGE,3 years,1
30060,C, 36 months,RENT,3 years,1
30061,B, 36 months,RENT,8 years,1
30062,A, 36 months,MORTGAGE,5 years,1
30063,E, 60 months,RENT,10+ years,-1
30064,D, 60 months,OWN,10+ years,-1
30065,C, 36 months,RENT,10+ years,-1
30066,C, 36 months,RENT,3 years,-1
30067,C, 36 months,RENT,10+ years,-1
30068,C, 36 months,MORTGAGE,1 year,1
30069,C, 60 months,MORTGAGE,2 years,1
30070,D, 36 months,RENT,4 years,-1
30071,C, 36 months,RENT,,-1
30072,E, 60 months,RENT,5 years,-1
30073,D, 60 months,RENT,< 1 year,1
30074,C, 60 months,RENT,3 years,-1
30075,B, 36 months,RENT,2 years,1
30076,B, 36 months,RENT,7 years,-1
30077,D, 36 months,MORTGAGE,4 years,-1
30078,G, 60 months,MORTGAGE,10+ years,-1
30079,E, 60 months,MORTGAGE,10+ years,1
30080,F, 60 months,OWN,10+ years,-1
30081,D, 36 months,OWN,5 years,-1
30082,A, 36 months,MORTGAGE,5 years,1
30083,D, 36 months,RENT,6 years,1
30084,D, 36 months,MORTGAGE,7 years,1
30085,B, 36 months,MORTGAGE,3 years,-1
30086,C, 36 months,MORTGAGE,3 years,-1
30087,B, 60 months,RENT,3 years,1
30088,C, 60 months,RENT,3 years,-1
30089,C, 36 months,MORTGAGE,3 years,-1
30090,E, 36 months,MORTGAGE,5 years,1
30091,A, 60 months,RENT,3 years,1
30092,B, 36 months,OWN,5 years,1
30093,F, 60 months,OWN,< 1 year,-1
30094,F, 60 months,MORTGAGE,10+ years,1
30095,C, 36 months,RENT,8 years,1
30096,B, 36 months,RENT,8 years,1
30097,A, 36 months,OWN,10+ years,1
30098,C, 36 months,RENT,8 years,1
30099,A, 36 months,OWN,4 years,1
30100,C, 36 months,RENT,4 years,1
30101,C, 60 months,MORTGAGE,5 years,1
30102,B, 36 months,RENT,< 1 year,-1
30103,B, 60 months,MORTGAGE,10+ years,1
30104,C, 36 months,MORTGAGE,7 years,1
30105,A, 36 months,RENT,10+ years,-1
30106,D, 60 months,RENT,1 year,-1
30107,C, 36 months,RENT,< 1 year,-1
30108,B, 60 months,RENT,6 years,1
30109,C, 36 months,RENT,1 year,-1
30110,C, 60 months,MORTGAGE,5 years,-1
30111,C, 36 months,RENT,3 years,1
30112,B, 36 months,MORTGAGE,10+ years,-1
30113,E, 36 months,MORTGAGE,8 years,1
30114,B, 36 months,RENT,8 years,-1
30115,B, 36 months,RENT,2 years,1
30116,C, 36 months,RENT,3 years,1
30117,D, 60 months,RENT,8 years,-1
30118,B, 60 months,MORTGAGE,5 years,-1
30119,E, 60 months,MORTGAGE,10+ years,-1
30120,E, 60 months,MORTGAGE,5 years,-1
30121,E, 60 months,RENT,2 years,-1
30122,A, 36 months,MORTGAGE,10+ years,1
30123,D, 60 months,MORTGAGE,10+ years,-1
30124,A, 36 months,MORTGAGE,10+ years,1
30125,B, 36 months,RENT,1 year,1
30126,A, 36 months,MORTGAGE,10+ years,1
30127,C, 60 months,MORTGAGE,8 years,1
30128,E, 60 months,MORTGAGE,10+ years,-1
30129,C, 36 months,RENT,8 years,1
30130,B, 36 months,RENT,3 years,1
30131,D, 36 months,RENT,< 1 year,-1
30132,C, 36 months,MORTGAGE,10+ years,1
30133,A, 36 months,OTHER,< 1 year,1
30134,B, 36 months,RENT,,-1
30135,A, 36 months,MORTGAGE,3 years,1
30136,F, 36 months,OWN,9 years,-1
30137,F, 60 months,RENT,10+ years,-1
30138,A, 36 months,RENT,3 years,1
30139,A, 36 months,RENT,2 years,1
30140,A, 36 months,MORTGAGE,10+ years,1
30141,E, 60 months,MORTGAGE,10+ years,-1
30142,B, 36 months,RENT,,1
30143,D, 36 months,MORTGAGE,4 years,1
30144,D, 36 months,MORTGAGE,6 years,-1
30145,B, 36 months,RENT,9 years,1
30146,D, 60 months,RENT,2 years,-1
30147,D, 60 months,RENT,,-1
30148,B, 60 months,RENT,10+ years,-1
30149,D, 36 months,RENT,3 years,-1
30150,F, 60 months,MORTGAGE,5 years,-1
30151,C, 36 months,RENT,8 years,-1
30152,B, 36 months,RENT,,-1
30153,D, 36 months,MORTGAGE,10+ years,-1
30154,A, 36 months,OWN,10+ years,1
30155,D, 60 months,MORTGAGE,8 years,-1
30156,A, 36 months,RENT,3 years,1
30157,G, 60 months,MORTGAGE,2 years,-1
30158,F, 60 months,MORTGAGE,< 1 year,-1
30159,D, 60 months,MORTGAGE,10+ years,1
30160,D, 60 months,RENT,4 years,1
30161,A, 36 months,MORTGAGE,3 years,1
30162,C, 60 months,MORTGAGE,5 years,-1
30163,F, 60 months,MORTGAGE,10+ years,1
30164,A, 36 months,RENT,3 years,1
30165,C, 36 months,OWN,8 years,-1
30166,D, 36 months,MORTGAGE,< 1 year,-1
30167,E, 60 months,RENT,< 1 year,-1
30168,A, 36 months,MORTGAGE,2 years,1
30169,B, 36 months,OWN,5 years,1
30170,B, 60 months,MORTGAGE,10+ years,-1
30171,C, 36 months,MORTGAGE,6 years,1
30172,D, 60 months,OWN,< 1 year,-1
30173,A, 36 months,MORTGAGE,3 years,-1
30174,A, 36 months,RENT,4 years,1
30175,B, 36 months,MORTGAGE,10+ years,-1
30176,A, 36 months,OWN,5 years,1
30177,C, 36 months,RENT,10+ years,-1
30178,E, 60 months,MORTGAGE,8 years,-1
30179,B, 36 months,RENT,< 1 year,1
30180,B, 36 months,MORTGAGE,7 years,1
30181,B, 36 months,MORTGAGE,,-1
30182,C, 36 months,MORTGAGE,,1
30183,B, 36 months,MORTGAGE,10+ years,1
30184,B, 36 months,MORTGAGE,5 years,1
30185,F, 60 months,RENT,7 years,-1
30186,B, 36 months,RENT,< 1 year,1
30187,A, 36 months,MORTGAGE,5 years,1
30188,C, 36 months,RENT,10+ years,-1
30189,A, 36 months,MORTGAGE,,-1
30190,C, 36 months,RENT,< 1 year,1
30191,B, 36 months,MORTGAGE,6 years,1
30192,C, 36 months,RENT,3 years,1
30193,A, 36 months,RENT,10+ years,1
30194,B, 36 months,MORTGAGE,5 years,-1
30195,B, 36 months,MORTGAGE,10+ years,1
30196,D, 36 months,OWN,10+ years,-1
30197,C, 36 months,RENT,10+ years,-1
30198,A, 36 months,MORTGAGE,2 years,1
30199,D, 36 months,RENT,7 years,-1
30200,C, 36 months,MORTGAGE,10+ years,-1
30201,B, 36 months,OWN,3 years,-1
30202,E, 36 months,MORTGAGE,4 years,1
30203,A, 36 months,MORTGAGE,9 years,-1
30204,B, 36 months,MORTGAGE,5 years,-1
30205,B, 36 months,MORTGAGE,10+ years,1
30206,C, 36 months,RENT,2 years,1
30207,C, 36 months,RENT,5 years,-1
30208,B, 36 months,MORTGAGE,10+ years,-1
30209,B, 36 months,MORTGAGE,< 1 year,1
30210,C, 36 months,MORTGAGE,4 years,-1
30211,A, 36 months,RENT,2 years,1
30212,A, 36 months,MORTGAGE,10+ years,-1
30213,B, 36 months,MORTGAGE,< 1 year,1
30214,C, 36 months,RENT,< 1 year,-1
30215,D, 60 months,MORTGAGE,7 years,1
30216,C, 36 months,OWN,10+ years,1
30217,A, 36 months,MORTGAGE,,1
30218,F, 60 months,MORTGAGE,1 year,-1
30219,D, 36 months,OWN,6 years,-1
30220,F, 60 months,MORTGAGE,< 1 year,-1
30221,E, 60 months,MORTGAGE,10+ years,-1
30222,F, 36 months,RENT,3 years,1
30223,A, 36 months,MORTGAGE,3 years,1
30224,C, 36 months,MORTGAGE,10+ years,-1
30225,G, 36 months,MORTGAGE,10+ years,-1
30226,B, 36 months,MORTGAGE,1 year,-1
30227,F, 60 months,RENT,5 years,-1
30228,A, 36 months,MORTGAGE,10+ years,1
30229,D, 36 months,RENT,3 years,-1
30230,F, 36 months,MORTGAGE,2 years,-1
30231,C, 60 months,RENT,7 years,-1
30232,A, 36 months,RENT,< 1 year,1
30233,D, 36 months,RENT,10+ years,1
30234,A, 36 months,MORTGAGE,10+ years,1
30235,B, 36 months,MORTGAGE,6 years,-1
30236,D, 36 months,MORTGAGE,10+ years,1
30237,A, 36 months,MORTGAGE,,1
30238,D, 36 months,RENT,3 years,1
30239,C, 60 months,MORTGAGE,10+ years,-1
30240,C, 36 months,OWN,10+ years,1
30241,C, 36 months,MORTGAGE,10+ years,-1
30242,C, 60 months,RENT,2 years,-1
30243,C, 36 months,MORTGAGE,10+ years,1
30244,B, 60 months,MORTGAGE,2 years,1
30245,C, 36 months,MORTGAGE,10+ years,1
30246,C, 36 months,RENT,8 years,-1
30247,C, 36 months,MORTGAGE,7 years,-1
30248,B, 36 months,RENT,10+ years,1
30249,B, 36 months,RENT,8 years,1
30250,A, 36 months,RENT,1 year,1
30251,A, 36 months,MORTGAGE,10+ years,1
30252,D, 60 months,MORTGAGE,10+ years,-1
30253,A, 36 months,MORTGAGE,9 years,-1
30254,B, 60 months,MORTGAGE,6 years,1
30255,A, 36 months,RENT,6 years,1
30256,B, 36 months,MORTGAGE,10+ years,-1
30257,B, 36 months,MORTGAGE,10+ years,-1
30258,C, 36 months,OWN,4 years,1
30259,F, 60 months,RENT,10+ years,-1
30260,B, 36 months,MORTGAGE,7 years,1
30261,D, 36 months,OWN,6 years,1
30262,D, 60 months,MORTGAGE,9 years,1
30263,A, 36 months,MORTGAGE,10+ years,1
30264,F, 60 months,RENT,< 1 year,-1
30265,A, 36 months,MORTGAGE,5 years,1
30266,F, 60 months,RENT,6 years,-1
30267,B, 60 months,MORTGAGE,5 years,1
30268,E, 36 months,RENT,3 years,-1
30269,C, 36 months,OWN,6 years,-1
30270,B, 60 months,MORTGAGE,3 years,-1
30271,F, 60 months,RENT,10+ years,-1
30272,D, 60 months,MORTGAGE,10+ years,-1
30273,B, 36 months,MORTGAGE,5 years,1
30274,B, 36 months,RENT,10+ years,1
30275,B, 36 months,MORTGAGE,7 years,-1
30276,A, 36 months,MORTGAGE,< 1 year,1
30277,D, 36 months,RENT,7 years,1
30278,G, 36 months,MORTGAGE,10+ years,1
30279,C, 36 months,OWN,10+ years,-1
30280,D, 36 months,MORTGAGE,10+ years,1
30281,D, 36 months,MORTGAGE,10+ years,1
30282,E, 60 months,RENT,10+ years,-1
30283,A, 36 months,MORTGAGE,3 years,-1
30284,E, 60 months,RENT,6 years,-1
30285,D, 36 months,RENT,8 years,-1
30286,C, 36 months,MORTGAGE,4 years,1
30287,B, 36 months,MORTGAGE,3 years,1
30288,D, 36 months,RENT,8 years,-1
30289,C, 36 months,RENT,3 years,1
30290,B, 36 months,RENT,2 years,-1
30291,F, 60 months,MORTGAGE,3 years,-1
30292,D, 36 months,MORTGAGE,5 years,-1
30293,C, 36 months,RENT,1 year,1
30294,B, 60 months,RENT,7 years,-1
30295,B, 60 months,MORTGAGE,4 years,1
30296,C, 36 months,RENT,10+ years,1
30297,B, 36 months,RENT,< 1 year,1
30298,B, 36 months,RENT,5 years,-1
30299,A, 36 months,MORTGAGE,10+ years,1
30300,A, 36 months,RENT,1 year,1
30301,A, 36 months,MORTGAGE,6 years,1
30302,E, 60 months,MORTGAGE,10+ years,-1
30303,A, 36 months,MORTGAGE,1 year,1
30304,B, 36 months,MORTGAGE,10+ years,-1
30305,C, 36 months,RENT,2 years,-1
30306,B, 36 months,MORTGAGE,4 years,1
30307,E, 36 months,RENT,4 years,-1
30308,D, 36 months,RENT,8 years,-1
30309,E, 60 months,RENT,6 years,-1
30310,D, 36 months,RENT,2 years,-1
30311,C, 36 months,RENT,10+ years,1
30312,C, 36 months,MORTGAGE,10+ years,1
30313,E, 60 months,RENT,6 years,-1
30314,C, 60 months,MORTGAGE,2 years,-1
30315,A, 36 months,MORTGAGE,10+ years,1
30316,B, 36 months,MORTGAGE,< 1 year,1
30317,C, 36 months,RENT,10+ years,1
30318,D, 36 months,OWN,8 years,-1
30319,B, 36 months,RENT,5 years,-1
30320,B, 60 months,RENT,10+ years,-1
30321,D, 36 months,RENT,< 1 year,-1
30322,C, 60 months,MORTGAGE,6 years,-1
30323,B, 36 months,MORTGAGE,< 1 year,1
30324,C, 36 months,RENT,5 years,1
30325,E, 60 months,MORTGAGE,8 years,1
30326,B, 36 months,MORTGAGE,10+ years,1
30327,C, 36 months,RENT,3 years,-1
30328,B, 60 months,OWN,6 years,-1
30329,B, 36 months,MORTGAGE,8 years,-1
30330,F, 60 months,RENT,3 years,-1
30331,D, 36 months,RENT,< 1 year,-1
30332,B, 36 months,RENT,5 years,-1
30333,A, 36 months,RENT,10+ years,-1
30334,B, 36 months,RENT,2 years,-1
30335,F, 60 months,MORTGAGE,3 years,-1
30336,B, 36 months,MORTGAGE,10+ years,-1
30337,E, 60 months,MORTGAGE,10+ years,-1
30338,C, 36 months,RENT,3 years,-1
30339,D, 60 months,RENT,3 years,-1
30340,C, 36 months,MORTGAGE,9 years,1
30341,E, 36 months,MORTGAGE,2 years,1
30342,C, 36 months,MORTGAGE,10+ years,-1
30343,C, 60 months,MORTGAGE,< 1 year,-1
30344,G, 60 months,RENT,3 years,1
30345,B, 36 months,OWN,< 1 year,-1
30346,C, 36 months,MORTGAGE,7 years,-1
30347,A, 36 months,MORTGAGE,5 years,1
30348,C, 36 months,MORTGAGE,3 years,1
30349,B, 36 months,RENT,3 years,-1
30350,E, 36 months,OWN,2 years,-1
30351,C, 36 months,MORTGAGE,10+ years,1
30352,D, 60 months,RENT,2 years,-1
30353,C, 36 months,RENT,< 1 year,-1
30354,E, 36 months,RENT,1 year,-1
30355,C, 36 months,OWN,7 years,-1
30356,B, 60 months,RENT,9 years,-1
30357,G, 36 months,MORTGAGE,10+ years,-1
30358,D, 36 months,RENT,1 year,-1
30359,B, 36 months,MORTGAGE,10+ years,-1
30360,E, 36 months,RENT,10+ years,1
30361,B, 36 months,RENT,3 years,1
30362,E, 60 months,MORTGAGE,8 years,-1
30363,C, 36 months,RENT,< 1 year,1
30364,F, 60 months,MORTGAGE,3 years,-1
30365,C, 36 months,RENT,5 years,1
30366,B, 36 months,RENT,1 year,1
30367,B, 36 months,RENT,5 years,1
30368,C, 60 months,RENT,7 years,-1
30369,D, 60 months,MORTGAGE,1 year,-1
30370,B, 36 months,MORTGAGE,1 year,-1
30371,D, 36 months,MORTGAGE,10+ years,-1
30372,D, 36 months,RENT,2 years,1
30373,B, 36 months,MORTGAGE,10+ years,1
30374,C, 36 months,RENT,10+ years,-1
30375,B, 36 months,RENT,5 years,1
30376,B, 36 months,RENT,2 years,-1
30377,B, 36 months,RENT,6 years,1
30378,D, 36 months,RENT,6 years,-1
30379,D, 36 months,MORTGAGE,7 years,-1
30380,B, 36 months,RENT,< 1 year,-1
30381,C, 36 months,RENT,< 1 year,1
30382,B, 36 months,RENT,10+ years,-1
30383,C, 60 months,MORTGAGE,10+ years,-1
30384,B, 36 months,RENT,1 year,1
30385,C, 60 months,MORTGAGE,,-1
30386,C, 36 months,RENT,< 1 year,-1
30387,B, 36 months,RENT,7 years,-1
30388,C, 36 months,MORTGAGE,3 years,1
30389,D, 60 months,MORTGAGE,9 years,1
30390,D, 36 months,RENT,8 years,-1
30391,D, 60 months,RENT,6 years,1
30392,D, 36 months,MORTGAGE,10+ years,-1
30393,A, 36 months,MORTGAGE,10+ years,-1
30394,E, 60 months,MORTGAGE,4 years,1
30395,A, 36 months,RENT,5 years,1
30396,D, 36 months,MORTGAGE,,-1
30397,F, 60 months,RENT,10+ years,-1
30398,E, 60 months,RENT,10+ years,-1
30399,D, 36 months,OWN,2 years,1
30400,F, 60 months,RENT,7 years,-1
30401,D, 36 months,RENT,2 years,1
30402,E, 36 months,RENT,9 years,1
30403,C, 36 months,MORTGAGE,,1
30404,C, 36 months,MORTGAGE,4 years,-1
30405,A, 36 months,RENT,4 years,1
30406,C, 36 months,RENT,10+ years,1
30407,C, 60 months,OWN,10+ years,1
30408,E, 60 months,MORTGAGE,2 years,-1
30409,C, 60 months,RENT,2 years,1
30410,B, 36 months,RENT,< 1 year,1
30411,D, 36 months,OWN,4 years,1
30412,F, 36 months,RENT,10+ years,1
30413,A, 36 months,MORTGAGE,1 year,1
30414,B, 36 months,MORTGAGE,8 years,1
30415,C, 60 months,RENT,6 years,-1
30416,C, 60 months,OWN,5 years,-1
30417,A, 36 months,MORTGAGE,2 years,1
30418,A, 36 months,MORTGAGE,7 years,1
30419,F, 60 months,RENT,4 years,-1
30420,C, 60 months,MORTGAGE,10+ years,-1
30421,C, 36 months,RENT,1 year,1
30422,D, 60 months,MORTGAGE,10+ years,1
30423,B, 36 months,MORTGAGE,8 years,-1
30424,C, 36 months,RENT,3 years,1
30425,B, 36 months,MORTGAGE,< 1 year,1
30426,B, 36 months,MORTGAGE,,1
30427,D, 60 months,RENT,< 1 year,-1
30428,C, 36 months,RENT,< 1 year,1
30429,F, 36 months,RENT,1 year,-1
30430,E, 60 months,MORTGAGE,10+ years,-1
30431,A, 36 months,OWN,,1
30432,F, 60 months,MORTGAGE,10+ years,1
30433,A, 36 months,RENT,10+ years,1
30434,C, 60 months,OWN,3 years,-1
30435,A, 36 months,RENT,8 years,1
30436,E, 60 months,MORTGAGE,10+ years,1
30437,D, 60 months,MORTGAGE,< 1 year,-1
30438,C, 36 months,OWN,10+ years,1
30439,E, 60 months,MORTGAGE,1 year,-1
30440,A, 36 months,MORTGAGE,10+ years,1
30441,D, 60 months,MORTGAGE,2 years,1
30442,D, 60 months,RENT,8 years,1
30443,C, 60 months,MORTGAGE,10+ years,-1
30444,C, 36 months,MORTGAGE,< 1 year,-1
30445,E, 60 months,RENT,< 1 year,-1
30446,B, 36 months,MORTGAGE,10+ years,-1
30447,B, 36 months,RENT,10+ years,1
30448,A, 36 months,MORTGAGE,10+ years,-1
30449,C, 36 months,RENT,10+ years,-1
30450,C, 36 months,RENT,1 year,1
30451,E, 36 months,MORTGAGE,2 years,1
30452,D, 60 months,MORTGAGE,6 years,-1
30453,B, 36 months,RENT,10+ years,-1
30454,B, 36 months,RENT,4 years,1
30455,C, 36 months,MORTGAGE,7 years,-1
30456,D, 36 months,MORTGAGE,10+ years,-1
30457,A, 36 months,MORTGAGE,9 years,1
